xpos,value
1,0.000000
2,0.000383
3,0.000767
4,0.001150
5,0.001534
6,0.001917
7,0.002301
8,0.002684
9,0.003068
10,0.003451
11,0.003835
12,0.004218
13,0.004602
14,0.004985
15,0.005369
16,0.005752
17,0.006136
18,0.006519
19,0.006903
20,0.007286
21,0.007670
22,0.008053
23,0.008437
24,0.008820
25,0.009204
26,0.009587
27,0.009971
28,0.010354
29,0.010738
30,0.011121
31,0.011505
32,0.011888
33,0.012272
34,0.012655
35,0.013038
36,0.013422
37,0.013805
38,0.014189
39,0.014572
40,0.014956
41,0.015339
42,0.015723
43,0.016106
44,0.016490
45,0.016873
46,0.017256
47,0.017640
48,0.018023
49,0.018407
50,0.018790
51,0.019174
52,0.019557
53,0.019940
54,0.020324
55,0.020707
56,0.021091
57,0.021474
58,0.021857
59,0.022241
60,0.022624
61,0.023008
62,0.023391
63,0.023774
64,0.024158
65,0.024541
66,0.024925
67,0.025308
68,0.025691
69,0.026075
70,0.026458
71,0.026841
72,0.027225
73,0.027608
74,0.027991
75,0.028375
76,0.028758
77,0.029142
78,0.029525
79,0.029908
80,0.030291
81,0.030675
82,0.031058
83,0.031441
84,0.031825
85,0.032208
86,0.032591
87,0.032975
88,0.033358
89,0.033741
90,0.034124
91,0.034508
92,0.034891
93,0.035274
94,0.035657
95,0.036041
96,0.036424
97,0.036807
98,0.037190
99,0.037574
100,0.037957
101,0.038340
102,0.038723
103,0.039107
104,0.039490
105,0.039873
106,0.040256
107,0.040639
108,0.041022
109,0.041406
110,0.041789
111,0.042172
112,0.042555
113,0.042938
114,0.043321
115,0.043705
116,0.044088
117,0.044471
118,0.044854
119,0.045237
120,0.045620
121,0.046003
122,0.046386
123,0.046769
124,0.047152
125,0.047535
126,0.047919
127,0.048302
128,0.048685
129,0.049068
130,0.049451
131,0.049834
132,0.050217
133,0.050600
134,0.050983
135,0.051366
136,0.051749
137,0.052132
138,0.052515
139,0.052898
140,0.053281
141,0.053664
142,0.054046
143,0.054429
144,0.054812
145,0.055195
146,0.055578
147,0.055961
148,0.056344
149,0.056727
150,0.057110
151,0.057493
152,0.057875
153,0.058258
154,0.058641
155,0.059024
156,0.059407
157,0.059790
158,0.060172
159,0.060555
160,0.060938
161,0.061321
162,0.061704
163,0.062086
164,0.062469
165,0.062852
166,0.063234
167,0.063617
168,0.064000
169,0.064383
170,0.064765
171,0.065148
172,0.065531
173,0.065913
174,0.066296
175,0.066679
176,0.067061
177,0.067444
178,0.067827
179,0.068209
180,0.068592
181,0.068974
182,0.069357
183,0.069739
184,0.070122
185,0.070505
186,0.070887
187,0.071270
188,0.071652
189,0.072035
190,0.072417
191,0.072800
192,0.073182
193,0.073565
194,0.073947
195,0.074329
196,0.074712
197,0.075094
198,0.075477
199,0.075859
200,0.076241
201,0.076624
202,0.077006
203,0.077389
204,0.077771
205,0.078153
206,0.078536
207,0.078918
208,0.079300
209,0.079682
210,0.080065
211,0.080447
212,0.080829
213,0.081211
214,0.081594
215,0.081976
216,0.082358
217,0.082740
218,0.083122
219,0.083505
220,0.083887
221,0.084269
222,0.084651
